asi_codigo,asi_nombre,asi_creditos
2023220,Acústica,3
2017162,Administración y gestión,2
2017163,Análisis de ciudades,2
2029260,Arquitectura bioclimática,3
2017164,Arquitectura del paisaje,3
2017165,Arquitectura gótica,2
2027470,Arquitectura moderna en Bogotá,2
2023221,Arquitectura y metal,3
2017167,Arquitectura y textos,2
2029054,Arte y paisaje,3
2017168,Asoleación y arquitectura,3
2017169,Aspectos arquitectónicos en el diseño sismoresistente,3
2017170,Ciudad y movimiento moderno,2
2017171,Clima y arquitectura,3
2022660,Comprensión de textos en idioma extranjero,12
2017172,Consolidación estructural,3
2017173,Construcción de baja complejidad,3
2017174,Construcción en madera y bambú,3
2017175,Construcciones complejas,3
2017176,Construcciones de mediana complejidad,3
2017177,Costos y programación,3
2017178,Crítica de la arquitectura,2
2023222,Documentación gráfica del patrimonio,3
2017179,Énfasis en investigación y proyecto arquitectónico I,5
2017180,Énfasis en investigación y proyecto arquitectónico II,5
2017181,Énfasis en investigación y proyecto de vivienda I,5
2017182,Énfasis en investigación y proyecto de vivienda II,5
2017183,Énfasis en investigación y proyecto patrimonial I,5
2017184,Énfasis en investigación y proyecto patrimonial II,5
2017185,Énfasis en investigación y proyecto tecnológico I,5
2017186,Énfasis en investigación y proyecto tecnológico II,5
2017187,Énfasis en investigación y proyecto urbano I,5
2017188,Énfasis en investigación y proyecto urbano II,5
2017189,Especificaciones y cantidades,3
2023223,Estructuras de alta complejidad,3
2017192,Estructuras de baja complejidad,3
2017193,Estructuras de mediana complejidad,3
2017194,Fundamentos tecnologicos en arquitectura,3
2016072,Gestión cultural y empresarial en las artes,3
2027952,Grandes maestros de la arquitectura,2
2016073,Herencias - Una mirada a la historia de las artes,3
2017198,Historia de la arquitectura I,2
2017199,Historia de la arquitectura II,3
2017200,Historia de la arquitectura III,3
2017201,Historia de la arquitectura IV,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
2017202,Interventoría,3
2017203,La ciudad y el espacio urbano,2
1000002-B,Lecto-Escritura,4
2017204,Medios artísticos,3
2023225,Medios digitales en construcción,3
2023226,Medios informáticos I,3
2023227,Medios informáticos II,3
2017205,Modelos,3
2017206,Morfología estructural,3
2017207,Origenes del urbanismo,2
2023229,Patologia de la edificacion,3
2017208,Planeación ordenamiento territorial,2
2016082,Problemas contemporáneos de las artes,3
2017211,Procesos urbanos,2
2023230,Protocolo de trabajo de grado,2
2017212,Proyecto I,5
2017213,Proyecto II,5
2017214,Proyecto III,5
2017215,Proyecto urbano,2
2017216,Proyecto vertical de actividad,6
2017217,Proyecto vertical de forma,6
2017218,Proyecto vertical de lugar,6
2017219,Proyecto vertical de técnica,6
2024687,Proyecto vertical lugar urbano,6
2017220,Representacion I,3
2017221,Representacion II,3
2017222,Representacion III,2
2017223,Representacion IV,2
2017224,Residencia de obra,3
2016085,Responsabilidad socio-ambiental de las artes,3
2017228,Seminario de investigación y proyecto arquitectónico I,2
2017229,Seminario de investigación y proyecto arquitectónico II,2
2017230,Seminario de investigación y proyecto de vivienda I,2
2017231,Seminario de investigación y proyecto de vivienda II,2
2017232,Seminario de investigación y proyecto patrimonial I,2
2017233,Seminario de investigación y proyecto patrimonial II,2
2017226,Seminario de investigación y proyecto tecnológico I,2
2017234,Seminario de investigación y proyecto tecnológico II,2
2017227,Seminario de investigación y proyecto urbano I,2
2017235,Seminario de investigación y proyecto urbano II,2
2023231,Seminario trabajo de grado,2
2017236,Sistemas portantes arquitectonicos,3
2017237,Suelos y cimientos,3
2017238,Tecnología del concreto,3
2017240,Teoria de la arquitectura I,2
2017241,Teoria de la arquitectura II,2
2017242,Teoria de la arquitectura III,2
2017243,Teoria de la arquitectura IV,2
2017244,Teoría de la arquitectura latinoamericana,2
2017514,Trabajo de Grado,6
2017515,Trabajo de Grado - Asignaturas de Posgrado,6
2017246,Tratados de arquitectura,2
2017247,Urbanismo contemporáneo,2
2017248,Urbanismo en Latinoamérica,2
2016868,Arte mediático,3
2016907,Cuerpo,3
2016999,Cuerpo y Espacio,3
2016880,Curaduria,3
2016887,Dibujo en Gran Formato,3
2016869,Dibujo I,3
2016870,Dibujo II,3
2016871,Dibujo III,3
2016888,El dibujo y el gesto,3
2016872,El objeto y su disposición,3
2016881,Escritura para Artistas,3
2016064,Estética y teoría de la imagenEstética y teoría de la imagen,3
2016917,Estructuras,3
2016889,Estructuras narrativas de la imagen,3
2016892,Fotograbado y técnicas mixtas en metal,3
2016893,Fotografía a color,3
2016068,Fotografía I,3
2016918,Fotografía II,3
2016072,Gestión cultural y empresarial en las artes,3
2016073,Herencias - Una mirada a la historia de las artes,3
2016920,Historia del arte I,3
2016921,Historia del arte II,3
2016876,Instalación,3
2029225,Introducción a la curaduría,3
2016922,Introducción a la gráfica,3
2016923,Introducción a la historia del arte,3
2016910,Introducción a la Performancia,3
2016924,Introducción a la pintura,3
2016925,Introducción a la teoria del arte,3
2016896,Libro Arte,3
2016897,Marca y aleatoriedad,3
2016926,Materia y procedimientos,3
2016878,Objeto,3
2016927,Pintura avanzada,3
2016928,Pintura intermedia,3
2016898,Pintura y gesto,3
2016900,Pintura y representación,3
2016901,Pintura-instalación,3
2016902,Prácticas contemporáneas del dibujo,3
2017000,Prácticas Orientadas al Lugar,3
2016082,Problemas contemporáneos de las artes,3
2026249,Procesos del fuego,3
2016929,Procesos del lenguaje gráfico,3
2027288,Proyecto de trabajo de grado I,6
2027289,Proyecto trabajo de grado II,6
2016913,Reacción,3
2016885,Representaciones del Cuerpo,3
2016085,Responsabilidad socio-ambiental de las artes,3
2016873,Seminario Arte y Educación,3
2016882,Seminario de Arte Colombiano,3
2016883,Seminario de Arte Latinoamericano,3
2016884,Seminario de Arte Moderno y Contemporáneo,3
2016904,Serigrafía-fotoserigrafía,3
2016915,Sonido,3
2016932,Taller Espacio,6
2016919,Taller gramática del arte,3
2016933,Taller Imagen,6
2016934,Taller introductorio,4
2016874,Taller Pedagógico,3
2016935,Taller Tiempo,6
2016905,Técnicas Fotográficas Experimentales,3
2016936,Teoría del arte I,3
2016937,Teoría del arte II,3
2017160,Trabajo de Grado,8
2017161,Trabajo de Grado - Asignaturas de Posgrado,8
2029261,Transmedia,3
2017001,Video,3
2016671,Análisis de la televisión I,3
2016998,Apreciación del Video Arte,2
2016673,Arte sonoro,2
2016674,Cinefotografía I,2
2016938,Cinefotografía II,2
2016939,Dirección de actores I,2
2016940,Dirección de actores II,2
2016941,Dirección de arte,2
2016942,Dirección I,2
2016943,Dirección II,2
2016946,Diseño de promoción,2
2016948,Diseño de proyecto documental,2
2016949,Documental de ensayo,2
2016950,Dramaturgia I,3
2016951,Escritura para televisión I,2
2016064,Estética y teoría de la imagen,3
2016954,Etica y cultura,3
2024678,Exhibición y distribución,2
2016068,Fotografía I,3
2024681,Géneros y estilos cinematográficos I,2
2024683,Géneros Y Estilos Cinematográficos II,2
2016072,Gestión cultural y empresarial en las artes,3
2016957,Guión audiovisual,2
2016958,Guión avanzado I,2
2016959,Guión de ficción,2
2016073,Herencias - Una mirada a la historia de las artes,3
2016961,Hipermedia,2
2016920,Historia del arte I,3
2016921,Historia del arte II,3
2024677,Investigación para documental,2
1000002-B,Lecto-Escritura,4
2016968,Métodos de investigación,3
2016969,Multimedia,2
2017002,Narrativa I,3
2016970,Práctica empresarial I (Diseño de proyecto),2
2016971,Práctica empresarial II (Realización),2
2016082,Problemas contemporáneos de las artes,3
2024676,Producción ejecutiva para audiovisual,2
2016978,Programación para arte,2
2016979,Proyecto de grado,3
2016980,Realización de proyecto documental,2
2016085,Responsabilidad socio-ambiental de las artes,3
2016982,Seminario de proyectos de Grado,3
2016983,Sonido I (Sonido directo),2
2016984,Sonido II (Postproducción sonora),2
2016985,Taller de producción y realización I,5
2016986,Taller de producción y realización II,5
2016987,Taller de producción y realización III,5
2016988,Taller de producción y realización IV,5
2016989,Taller de producción y Realización V,5
2024685,Taller De Video Arte,2
2017006,Tecnología de la televisión,2
2016991,Tecnología del audiovisual,2
2016992,Teoría e historia medios audiovisuales I,3
2016993,Teoría e Historia medios audiovisuales II,3
2023265,Teoría e historia medios audiovisuales III,3
2016994,Teoría e historia medios audiovisuales IV,3
2016995,Teoría e Historia medios audiovisuales V,3
2016996,Teoría y práctica del montaje I,2
2016997,Teoría y práctica del montaje II,2
2017004,Trabajo de Grado,6
2017005,Trabajo de Grado - Asignaturas de Posgrado,6
2016080,Aplicaciones gráficas tridimensionales,3
2016061,Bocetación e Ilustración,3
2016063,Esquemática básica,2
2016064,Estética y teoría de la imagenEstética y teoría de la imagen,3
2016065,Expresión visual,2
2016066,Figura humana y representación,3
2016068,Fotografía I,3
2016918,Fotografía II,3
2016062,Fotografía III,3
2016069,Fundamentos tecnológicos: Color y producción,3
2016070,Fundamentos tecnológicos: Formatos y medidas,2
2016071,Fundamentos Tecnológicos: Tipometría,3
2016072,Gestión cultural y empresarial en las artes,3
2016073,Herencias - Una mirada a la historia de las artes,3
2016074,Historia del diseño gráfico: Contextos del diseño en Colombia,3
2016075,Historia del diseño gráfico: De la imagen a la palabra,3
2016076,Historia del diseño gráfico: De las artes al diseño,3
2016077,Historia del diseño gráfico: De los ismos a los medios,3
2016078,"Historia del diseño gráfico: Sociedad, cultura y diseño en Latinoamérica",3
2016079,Imagen dinámica,3
1000044-B,Inglés I- Semestral,3
1000045-B,Inglés II - Semestral,3
1000049-B,Inglés II - Virtual,3
1000046-B,Inglés III - Semestral,3
1000050-B,Inglés III- Virtual,3
1000052-B,Inglés Intensivo I y II,6
1000053-B,Inglés Intensivo III y IV,6
1000047-B,Inglés IV- Semestral,3
1000051-B,Inglés IV- Virtual,3
1000002-B,Lecto-Escritura,4
2016081,Palabra e imagen,3
2016082,Problemas contemporáneos de las artes,3
2016083,Producción en medios digitales,3
2016084,Producción en medios impresos,3
2016085,Responsabilidad socio-ambiental de las artes,3
2016086,Seminario de investigación y proyecto de diseño,3
2016093,Taller de énfasis en animación y narrativas audiovisuales I,3
2016094,Taller de énfasis en animación y narrativas audiovisuales II,3
2016087,Taller de énfasis en ilustración I,3
2016088,Taller de énfasis en ilustración II,3
2016089,Taller de énfasis en imagen fotográfica I,3
2016090,Taller de énfasis en imagen fotográfica II,3
2016091,Taller de énfasis en multimedia e imagen digital I,3
2016092,Taller de énfasis en multimedia e imagen digital II,3
2016095,"Taller de énfasis en teoría, historia y estética I",3
2016096,"Taller de énfasis en teoría, historia y estética II",3
2016097,Taller de énfasis en tipografía y diagramación I,3
2016098,Taller de énfasis en tipografía y diagramación II,3
2016099,Taller forma y estructura,5
2016100,Taller identidad e imagen coordinada,5
2016101,Taller orientación y diseño de información,5
2016102,Taller signo y letra,5
2016103,"Taller tipografía, composición y diagramación",5
2016104,Teoría de la mirada,3
2016105,Teorías de la comunicación visual I,3
2016106,Teorías de la comunicación visual II,3
2015304,Trabajo de Grado,6
2015305,Trabajo de Grado - Asignaturas de Posgrado,6
2017299,Análisis de métodos proyectuales,2
2017300,Comunicación I,3
2017301,Comunicación II,3
2017302,Comunicación III,3
2017303,Comunicación IV,3
2017304,Comunicación V,3
2017305,Comunicación VI,3
2017306,Cultura Material y del Arte en América Latina,2
2017307,Dirección Organizacional,2
2017310,"Diseño, cultura y sociedad",2
2024276,Diseño de exposiciones,2
2017308,Diseño para la Sostenibilidad,3
2017309,Diseño y Mercados,3
2017311,Economía e Industria,2
2017314,Ergonomía Cognitiva,3
2017312,Ergonomía Física,3
2017313,Ergonomía Organizacional,3
