asi_codigo,nivelación = NULL xd,Tipología de asignatura,pro_id
2023220,0,DISCIPLINAR ,2506
2017162,1,FUNDAMENTACIÓN ,2506
2017163,0,DISCIPLINAR ,2506
2029260,0,DISCIPLINAR ,2506
2017164,0,DISCIPLINAR ,2506
2017165,0,DISCIPLINAR ,2506
2027470,0,DISCIPLINAR ,2506
2023221,0,DISCIPLINAR ,2506
2017167,0,DISCIPLINAR ,2506
2029054,0,FUNDAMENTACIÓN,2506
2017168,0,DISCIPLINAR ,2506
2017169,0,DISCIPLINAR ,2506
2017170,0,DISCIPLINAR ,2506
2017171,0,DISCIPLINAR ,2506
2022660,NULL,NIVELACION,2506
2017172,0,DISCIPLINAR ,2506
2017173,1,DISCIPLINAR ,2506
2017174,0,DISCIPLINAR ,2506
2017175,1,DISCIPLINAR ,2506
2017176,1,DISCIPLINAR ,2506
2017177,0,DISCIPLINAR ,2506
2017178,0,DISCIPLINAR ,2506
2023222,0,DISCIPLINAR ,2506
2017179,0,DISCIPLINAR ,2506
2017180,0,DISCIPLINAR ,2506
2017181,0,DISCIPLINAR ,2506
2017182,0,DISCIPLINAR ,2506
2017183,0,DISCIPLINAR ,2506
2017184,0,DISCIPLINAR ,2506
2017185,0,DISCIPLINAR ,2506
2017186,0,DISCIPLINAR ,2506
2017187,0,DISCIPLINAR ,2506
2017188,0,DISCIPLINAR ,2506
2017189,0,DISCIPLINAR ,2506
2023223,1,DISCIPLINAR ,2506
2017192,1,DISCIPLINAR ,2506
2017193,1,DISCIPLINAR ,2506
2017194,1,FUNDAMENTACIÓN ,2506
2016072,0,FUNDAMENTACIÓN,2506
2027952,0,DISCIPLINAR ,2506
2016073,0,FUNDAMENTACIÓN,2506
2017198,1,FUNDAMENTACIÓN ,2506
2017199,1,DISCIPLINAR ,2506
2017200,1,DISCIPLINAR ,2506
2017201,1,DISCIPLINAR ,2506
1000044-B,NULL,NIVELACION,2506
1000045-B,NULL,NIVELACION,2506
1000049-B,NULL,NIVELACION,2506
1000046-B,NULL,NIVELACION,2506
1000050-B,NULL,NIVELACION,2506
1000052-B,NULL,NIVELACION,2506
1000053-B,NULL,NIVELACION,2506
1000047-B,NULL,NIVELACION,2506
1000051-B,NULL,NIVELACION,2506
2017202,0,DISCIPLINAR ,2506
2017203,1,FUNDAMENTACIÓN ,2506
1000002-B,NULL,NIVELACION,2506
2017204,0,DISCIPLINAR ,2506
2023225,0,DISCIPLINAR ,2506
2023226,0,DISCIPLINAR ,2506
2023227,0,DISCIPLINAR ,2506
2017205,0,DISCIPLINAR ,2506
2017206,0,DISCIPLINAR ,2506
2017207,1,DISCIPLINAR ,2506
2023229,0,DISCIPLINAR ,2506
2017208,0,DISCIPLINAR ,2506
2016082,0,FUNDAMENTACIÓN,2506
2017211,0,DISCIPLINAR ,2506
2023230,1,DISCIPLINAR ,2506
2017212,1,DISCIPLINAR ,2506
2017213,1,DISCIPLINAR ,2506
2017214,1,DISCIPLINAR ,2506
2017215,1,DISCIPLINAR ,2506
2017216,0,DISCIPLINAR ,2506
2017217,0,DISCIPLINAR ,2506
2017218,0,DISCIPLINAR ,2506
2017219,0,DISCIPLINAR ,2506
2024687,0,DISCIPLINAR ,2506
2017220,1,FUNDAMENTACIÓN ,2506
2017221,1,DISCIPLINAR ,2506
2017222,1,DISCIPLINAR ,2506
2017223,1,DISCIPLINAR ,2506
2017224,0,DISCIPLINAR ,2506
2016085,0,FUNDAMENTACIÓN,2506
2017228,0,DISCIPLINAR ,2506
2017229,0,DISCIPLINAR ,2506
2017230,0,DISCIPLINAR ,2506
2017231,0,DISCIPLINAR ,2506
2017232,0,DISCIPLINAR ,2506
2017233,0,DISCIPLINAR ,2506
2017226,0,DISCIPLINAR ,2506
2017234,0,DISCIPLINAR ,2506
2017227,0,DISCIPLINAR ,2506
2017235,0,DISCIPLINAR ,2506
2023231,1,DISCIPLINAR ,2506
2017236,1,DISCIPLINAR ,2506
2017237,0,DISCIPLINAR ,2506
2017238,0,DISCIPLINAR ,2506
2017240,1,FUNDAMENTACIÓN ,2506
2017241,1,DISCIPLINAR ,2506
2017242,1,DISCIPLINAR ,2506
2017243,1,DISCIPLINAR ,2506
2017244,0,DISCIPLINAR ,2506
2017514,NULL,TRABAJO DE GRADO,2506
2017515,NULL,TRABAJO DE GRADO,2506
2017246,0,DISCIPLINAR ,2506
2017247,1,DISCIPLINAR ,2506
2017248,1,DISCIPLINAR ,2506
2016868,1,DISCIPLINAR ,2507
2016907,0,DISCIPLINAR ,2507
2016999,0,DISCIPLINAR ,2507
2016880,0,DISCIPLINAR ,2507
2016887,0,DISCIPLINAR ,2507
2016869,1,DISCIPLINAR ,2507
2016870,1,DISCIPLINAR ,2507
2016871,1,DISCIPLINAR ,2507
2016888,0,DISCIPLINAR ,2507
2016872,1,DISCIPLINAR ,2507
2016881,0,DISCIPLINAR ,2507
2016064,1,FUNDAMENTACIÓN ,2507
2016917,1,DISCIPLINAR ,2507
2016889,0,DISCIPLINAR ,2507
2016892,0,DISCIPLINAR ,2507
2016893,0,DISCIPLINAR ,2507
2016068,1,DISCIPLINAR ,2507
2016918,1,DISCIPLINAR ,2507
2016072,1,FUNDAMENTACIÓN ,2507
2016073,0,FUNDAMENTACIÓN,2507
2016920,1,DISCIPLINAR ,2507
